siquijor,6
agusan del norte,4
cebu,10
quezon,3
negros occidental,2
metropolitan manila,10
pangasinan,10
quirino,8
rizal,5
samar,2
south cotabato,9
north cotabato,1
maguindanao,7
southern leyte,10
sorsogon,2
catanduanes,10
leyte,1
la union,2
lanao del sur,8
lanao del norte,6
laguna,8
apayao,4
isabela,7
iloilo,5
camarines norte,6
tawi-tawi,9
sultan kudarat,2
camarines sur,6
bohol,6
benguet,4
masbate,8
bukidnon,5
agusan del sur,7
basilan,7
pampanga,6
eastern samar,3
capiz,4
zamboanga del sur,6
aurora,10
marinduque,1
cagayan,9
sabah,5
bulacan,1
camiguin,10
romblon,8
negros oriental,10
nueva ecija,9
mountain province,8
tarlac,4
misamis occidental,1
misamis oriental,6
occidental mindoro,3
oriental mindoro,2
ilocos norte,6
nueva vizcaya,3
paragua,4
davao,10
sarangani,3
davao oriental,10
abra,8
antique,7
cavite,3
aklan,4
albay,7
sulu,2
dinagat islands,10
surigao del sur,7
batangas,8
zambales,5
ilocos sur,7
zamboanga del sur,6
northern samar,10
